run,t_qos,t_ho1,ho1_target,t_sleep,t_wake,t_ho2,ho2_target,recovery_ho_count,recovery_ho_detail,TS_UE1_Mbps,TS_UE2_Mbps,TS_UE3_Mbps,TS_UE4_Mbps,QoS_UE1_Mbps,QoS_UE2_Mbps,QoS_UE3_Mbps,QoS_UE4_Mbps,NES_UE1_Mbps,NES_UE2_Mbps,NES_UE3_Mbps,NES_UE4_Mbps,Recovery_UE1_Mbps,Recovery_UE2_Mbps,Recovery_UE3_Mbps,Recovery_UE4_Mbps
run_001,1.165,1.952,4,1.975,3.175,3.152,3,1,IMSI2:O-RU 3->O-RU 2,273.79,546.00,331.38,198.64,357.98,533.56,298.69,65.33,245.74,114.44,281.54,294.47,275.44,557.65,339.83,251.51
run_002,1.223,2.002,4,2.025,3.225,3.182,3,1,IMSI2:O-RU 3->O-RU 2,291.14,474.06,429.55,225.97,418.60,478.99,501.45,61.68,254.07,179.10,280.19,250.37,276.17,526.06,438.54,270.84
run_003,1.217,2.012,4,2.025,3.225,3.192,3,1,IMSI2:O-RU 3->O-RU 2,264.31,483.91,400.41,242.26,391.45,488.50,509.96,48.03,275.49,138.09,264.65,252.27,244.11,539.35,364.79,271.41
run_004,1.194,1.982,4,2.025,3.175,3.122,3,1,IMSI2:O-RU 3->O-RU 2,335.62,437.41,331.58,232.99,443.73,565.17,402.93,87.42,258.94,238.26,289.82,259.60,264.97,510.25,359.53,293.21
run_005,1.234,2.062,4,2.075,3.275,3.232,3,1,IMSI2:O-RU 3->O-RU 2,306.89,517.76,269.53,278.87,475.58,535.94,428.12,43.41,276.89,136.58,236.23,230.88,275.98,524.64,371.72,231.28
run_006,1.243,2.032,4,2.075,3.225,3.182,3,1,IMSI2:O-RU 3->O-RU 2,223.81,487.54,348.14,260.13,497.56,609.04,556.30,44.02,287.41,121.68,242.36,313.36,283.57,512.66,355.45,276.24
run_007,1.202,1.992,4,2.025,3.175,3.122,3,1,IMSI2:O-RU 3->O-RU 2,240.82,523.41,308.78,265.33,428.53,490.91,420.41,75.60,258.76,150.47,301.95,253.21,219.62,526.50,444.88,233.55
run_008,1.257,2.052,4,2.075,3.225,3.192,3,1,IMSI2:O-RU 3->O-RU 2,266.47,537.20,450.69,278.32,522.01,511.23,227.46,47.51,256.36,188.62,259.86,288.00,265.17,533.38,394.98,268.13
run_009,1.193,2.042,4,2.075,3.225,3.182,3,1,IMSI2:O-RU 3->O-RU 2,292.54,558.71,424.57,299.20,388.59,559.46,199.12,37.84,254.46,182.33,234.62,303.13,266.96,524.95,341.99,328.56
run_010,1.218,1.992,4,2.025,3.175,3.122,3,1,IMSI2:O-RU 3->O-RU 2,315.38,507.15,275.52,274.14,411.47,386.92,428.01,77.93,278.00,138.61,245.71,247.02,271.88,546.53,401.88,264.95
run_011,1.214,2.012,4,2.025,3.225,3.172,3,1,IMSI2:O-RU 3->O-RU 2,267.95,436.09,503.49,311.95,459.17,529.70,307.35,65.13,270.04,113.69,269.79,209.79,274.51,547.95,415.29,240.97
run_012,1.218,2.052,4,2.075,3.225,3.202,3,1,IMSI2:O-RU 3->O-RU 2,211.06,559.13,268.35,275.41,354.93,516.89,404.93,42.54,270.33,153.09,225.67,271.58,260.21,489.96,376.68,274.12
run_013,1.202,2.012,4,2.025,3.175,3.142,3,1,IMSI2:O-RU 3->O-RU 2,288.68,538.55,298.82,274.23,485.88,559.11,471.42,49.05,290.20,146.32,225.08,297.45,254.34,532.45,310.47,277.33
run_014,1.196,2.002,4,2.025,3.175,3.122,3,1,IMSI2:O-RU 3->O-RU 2,293.54,561.72,275.88,337.17,562.12,461.11,400.84,45.52,255.85,204.41,248.51,280.23,266.89,535.07,383.78,293.36
run_015,1.260,2.082,4,2.125,3.275,3.222,3,1,IMSI2:O-RU 3->O-RU 2,212.52,537.44,398.92,273.72,550.20,555.33,318.23,45.32,313.13,160.12,290.83,265.81,280.64,525.96,316.59,261.19
run_016,1.229,2.062,4,2.075,3.225,3.202,3,1,IMSI2:O-RU 3->O-RU 2,223.29,555.18,361.12,288.94,440.53,500.51,623.77,42.83,283.95,163.58,219.64,307.53,238.95,545.46,456.35,241.42
run_017,1.158,1.952,4,1.975,3.125,3.082,3,1,IMSI2:O-RU 3->O-RU 2,303.08,468.90,386.24,190.97,503.28,466.04,359.70,89.08,255.04,170.70,270.16,253.96,260.57,528.07,306.59,255.52
run_018,1.268,2.082,4,2.125,3.275,3.252,3,1,IMSI2:O-RU 3->O-RU 2,211.45,484.20,536.17,233.51,463.24,524.68,331.41,47.47,275.48,200.77,249.29,240.33,287.40,498.11,350.63,268.98
run_019,1.245,2.052,4,2.075,3.225,3.222,3,1,IMSI2:O-RU 3->O-RU 2,218.80,563.79,300.27,203.19,489.72,536.00,333.65,44.63,280.28,142.00,253.93,246.72,254.98,532.61,420.31,291.16
run_020,1.187,1.972,4,2.025,3.125,3.082,3,1,IMSI2:O-RU 3->O-RU 2,257.70,484.96,206.89,247.31,418.80,476.54,501.00,82.38,276.29,108.77,264.36,313.14,256.05,519.76,408.59,281.19
run_021,1.166,1.972,4,2.025,3.125,3.112,3,1,IMSI2:O-RU 3->O-RU 2,288.91,496.45,307.91,252.30,390.42,481.87,311.47,73.64,263.43,115.53,285.11,263.01,269.78,469.60,340.06,274.83
run_022,1.231,1.982,4,2.025,3.125,3.102,3,1,IMSI2:O-RU 3->O-RU 2,252.32,434.89,400.87,283.59,448.54,441.81,354.99,59.67,224.21,141.99,270.34,242.89,242.08,502.56,450.52,267.54
run_023,1.202,1.972,4,2.025,3.125,3.112,3,1,IMSI2:O-RU 3->O-RU 2,235.53,393.02,348.67,250.62,416.80,530.83,465.41,69.40,313.93,96.78,251.75,272.19,243.72,532.45,390.35,281.56
run_024,1.255,2.062,4,2.075,3.275,3.242,3,1,IMSI2:O-RU 3->O-RU 2,294.66,524.96,462.70,263.02,546.68,574.43,389.34,47.25,262.62,99.05,262.21,267.72,245.62,523.34,390.21,249.75
run_025,1.242,2.032,4,2.075,3.225,3.172,3,1,IMSI2:O-RU 3->O-RU 2,226.87,505.95,490.63,221.80,474.27,435.56,503.73,46.95,301.92,177.14,284.67,277.03,246.35,543.40,433.41,246.56
