run,t_qos,t_ho1,ho1_target,t_sleep,t_wake,t_ho2,ho2_target,recovery_ho_count,recovery_ho_detail,TS_UE1_Mbps,TS_UE2_Mbps,TS_UE3_Mbps,TS_UE4_Mbps,QoS_UE1_Mbps,QoS_UE2_Mbps,QoS_UE3_Mbps,QoS_UE4_Mbps,NES_UE1_Mbps,NES_UE2_Mbps,NES_UE3_Mbps,NES_UE4_Mbps,Recovery_UE1_Mbps,Recovery_UE2_Mbps,Recovery_UE3_Mbps,Recovery_UE4_Mbps
run_001,1.223,2.002,4,2.025,3.175,3.122,3,1,IMSI2:O-RU 3->O-RU 2,255.96,546.00,332.19,206.13,527.08,557.84,297.18,54.56,310.06,165.41,225.62,280.83,267.92,539.78,354.05,285.32
run_002,1.204,1.962,4,1.975,3.175,3.142,3,1,IMSI2:O-RU 3->O-RU 2,294.91,474.06,429.79,219.65,449.53,526.04,448.37,79.42,273.96,117.80,272.82,291.23,248.86,557.33,428.19,262.17
run_003,1.224,2.012,4,2.025,3.225,3.192,3,1,IMSI2:O-RU 3->O-RU 2,262.88,475.45,400.78,244.35,474.78,507.87,498.91,61.46,265.71,160.41,263.44,274.36,283.57,512.82,378.43,279.80
run_004,1.204,2.022,4,2.075,3.225,3.192,3,1,IMSI2:O-RU 3->O-RU 2,335.87,436.63,336.03,231.98,466.61,622.47,323.49,46.08,286.92,174.73,241.00,263.86,288.89,540.91,327.23,296.74
run_005,1.228,2.042,4,2.075,3.225,3.202,3,1,IMSI2:O-RU 3->O-RU 2,308.38,521.95,271.00,277.11,466.75,481.64,365.16,42.56,253.01,157.52,218.30,296.98,210.98,553.69,323.97,247.27
run_006,1.261,2.062,4,2.075,3.275,3.242,3,1,IMSI2:O-RU 3->O-RU 2,222.89,487.54,348.14,260.71,534.28,569.10,633.90,47.79,281.06,135.43,250.45,293.17,256.50,534.56,347.37,272.00
run_007,1.256,2.102,4,2.125,3.325,3.282,3,1,IMSI2:O-RU 3->O-RU 2,228.15,522.91,307.90,280.25,490.99,562.74,364.89,47.01,306.75,144.09,168.54,284.90,302.81,513.35,360.89,263.80
run_008,1.300,2.152,4,2.175,3.375,3.322,3,1,IMSI2:O-RU 3->O-RU 2,266.47,537.20,450.69,278.32,380.08,452.82,293.96,98.72,276.72,120.84,199.26,276.91,269.70,467.42,430.49,249.58
run_009,1.223,2.092,4,2.125,3.325,3.272,3,1,IMSI2:O-RU 3->O-RU 2,291.33,558.71,424.57,301.86,398.08,557.81,304.17,40.07,294.27,148.13,241.14,252.72,292.20,542.21,311.55,259.65
run_010,1.260,2.052,4,2.075,3.225,3.202,3,1,IMSI2:O-RU 3->O-RU 2,311.51,507.16,275.26,284.11,454.37,451.80,464.22,50.12,274.11,133.82,221.04,328.65,268.68,548.81,442.42,262.63
