method,L_position,seeds,mean_normalized_utility,ci95_lower,ci95_upper,mean_selected_ues,mean_used_local_reexecutions,maximum_total_triggered_local_reexecutions
Quantum-classical hybrid,1.0,100,71.08502246656587,69.51808374006791,72.65196119306384,36.41,0.0,0
Quantum-classical hybrid,1.5,100,96.36513059862214,95.71536635860825,97.01489483863604,49.48,0.0,0
O-RAN fixed-priority ConMit,1.0,100,69.93297615278833,68.38647204643452,71.47948025914214,35.65,0.0,9
O-RAN fixed-priority ConMit,1.5,100,85.88217310668117,85.16513866732467,86.59920754603766,43.29,0.0,9
O-RAN negotiation-based ConMit,1.0,100,69.93297615278833,68.38647204643452,71.47948025914214,35.65,0.0,9
O-RAN negotiation-based ConMit,2.0,100,87.22934437782781,86.5423093468592,87.91637940879643,44.17,1.0,9
O-RAN negotiation-based ConMit,3.0,100,88.76434955047776,88.08123816153204,89.44746093942348,45.14,2.0,9
O-RAN negotiation-based ConMit,4.0,100,90.55927515776895,89.88248248549085,91.23606783004705,46.25,3.0,9
O-RAN negotiation-based ConMit,5.0,100,92.37308752028406,91.70170987051546,93.04446517005266,47.4,3.99,9
O-RAN negotiation-based ConMit,6.0,100,94.4597204813798,93.85565566653214,95.06378529622746,48.63,4.91,9
O-RAN negotiation-based ConMit,7.0,100,95.77730551047487,95.31658406093628,96.23802696001347,49.39,5.49,9
O-RAN negotiation-based ConMit,8.0,100,96.6451157246201,96.35205625001369,96.9381751992265,49.93,5.84,9
O-RAN negotiation-based ConMit,9.0,100,96.78677077378286,96.53116159517663,97.0423799523891,50.03,5.93,9
