seed,domain,exact_local_utility,hungarian_utility,percent_of_exact_local,selected_ues,allowed_ues,demand_copies,physical_slots,fully_selected_before_repair,partially_selected_before_repair,repair_drops,refills,swap_used
0,0,64.12649132252878,64.12649132252878,100.0,6,10,37,20,5,1,1,2,True
0,1,74.85481653164693,74.85481653164693,100.0,4,12,52,20,4,1,0,0,True
0,2,64.19040778564869,63.444797367841105,98.83843950595016,4,12,55,20,4,1,0,0,True
0,3,72.84854047406759,71.76484396526351,98.51239777523085,6,12,43,20,6,1,0,0,True
0,4,82.27111138496771,82.27111138496771,100.00000000000001,5,10,45,20,4,1,0,1,False
0,5,59.09726589291686,57.42679854576154,97.17335933919146,6,10,30,20,6,1,0,0,False
0,6,64.09508902857928,62.89780361877186,98.13201693303903,6,12,52,20,5,1,0,1,False
0,7,70.86006647852875,70.86006647852875,100.0,5,12,51,20,4,1,1,2,False
0,8,68.48286087823877,68.48286087823877,100.0,7,12,42,20,7,1,0,0,False
0,9,52.627557033270726,52.627557033270726,100.0,5,10,45,20,5,0,1,1,True
1,0,73.64979836410562,73.64979836410562,100.0,5,10,40,20,5,1,0,0,True
1,1,86.36270149646063,86.36270149646063,100.0,5,12,49,20,4,1,0,1,False
1,2,75.66443212492588,75.44559390187675,99.71077794823356,5,12,47,20,5,1,0,0,False
1,3,70.97799185953673,70.97799185953673,100.0,5,12,49,20,5,1,0,0,True
1,4,57.55863058977985,57.55863058977985,100.0,4,10,48,20,4,1,1,1,False
1,5,71.61392841284199,71.61392841284199,100.0,5,10,47,20,4,1,0,1,True
1,6,68.88152777443995,67.02481727169244,97.30448704792451,7,12,46,20,6,1,0,1,False
1,7,68.68158756710031,68.68158756710031,100.0,5,12,47,20,4,1,0,1,False
1,8,83.50013181285607,83.25752953018888,99.70945880275863,4,12,51,20,4,1,0,0,False
1,9,79.1512021737218,79.1512021737218,100.0,5,10,42,20,4,1,0,1,False
2,0,76.43253700175592,76.43253700175592,100.0,6,10,33,20,5,1,0,1,True
