variant,seed,resolved,normalized_utility,selected_ues,projection_switches,projection_gap_owner_evaluations
strict_measured_top16,0,False,nan,,0,0
unrestricted_top16_projection_gap,0,True,97.56739293860646,52,3,8
current_action_projection_gap,0,True,96.82400601308339,51,3,8
top1_projection_gap,0,True,96.82400601308339,51,3,8
unrestricted_top8_projection_gap,0,True,96.1645985343454,51,4,9
final_measured_gap_top1_completion,0,True,95.62903445622754,50,3,0
strict_measured_top16,1,True,99.96946518840026,51,0,0
unrestricted_top16_projection_gap,1,True,99.96946518840026,51,0,5
current_action_projection_gap,1,True,99.96946518840026,51,0,5
top1_projection_gap,1,True,99.96946518840026,51,0,5
unrestricted_top8_projection_gap,1,True,99.64743755790987,50,0,6
final_measured_gap_top1_completion,1,True,99.96946518840026,51,0,0
strict_measured_top16,2,True,100.00000000000001,51,0,0
unrestricted_top16_projection_gap,2,True,100.00000000000001,51,0,1
current_action_projection_gap,2,True,100.00000000000001,51,0,1
top1_projection_gap,2,True,100.00000000000001,51,0,1
unrestricted_top8_projection_gap,2,True,100.00000000000001,51,0,2
final_measured_gap_top1_completion,2,True,100.00000000000001,51,0,0
strict_measured_top16,3,False,nan,,0,0
unrestricted_top16_projection_gap,3,True,99.59878886713508,53,1,4
current_action_projection_gap,3,True,99.59878886713508,53,1,4
top1_projection_gap,3,True,99.59878886713508,53,1,4
unrestricted_top8_projection_gap,3,True,98.09905706498371,52,2,9
final_measured_gap_top1_completion,3,True,99.59878886713508,53,1,0
strict_measured_top16,4,True,99.82826084149595,55,0,0
unrestricted_top16_projection_gap,4,True,99.82826084149595,55,0,3
current_action_projection_gap,4,True,99.82826084149595,55,0,3
top1_projection_gap,4,True,99.82826084149595,55,0,3
unrestricted_top8_projection_gap,4,True,98.52465100254604,54,1,6
final_measured_gap_top1_completion,4,True,99.82826084149595,55,0,0
strict_measured_top16,5,False,nan,,0,0
unrestricted_top16_projection_gap,5,True,98.0945004527696,45,1,6
current_action_projection_gap,5,True,98.0945004527696,45,1,6
top1_projection_gap,5,True,97.48045639154556,45,1,6
unrestricted_top8_projection_gap,5,True,94.66914272984378,43,4,13
final_measured_gap_top1_completion,5,True,97.48045639154556,45,1,0
strict_measured_top16,6,True,99.97628115568173,49,0,0
unrestricted_top16_projection_gap,6,True,99.97628115568173,49,0,0
current_action_projection_gap,6,True,99.97628115568173,49,0,0
top1_projection_gap,6,True,99.97628115568173,49,0,0
unrestricted_top8_projection_gap,6,True,99.97628115568173,49,0,2
final_measured_gap_top1_completion,6,True,99.97628115568173,49,0,0
strict_measured_top16,7,True,100.0,53,0,0
unrestricted_top16_projection_gap,7,True,100.0,53,0,5
current_action_projection_gap,7,True,100.0,53,0,5
top1_projection_gap,7,True,100.0,53,0,5
unrestricted_top8_projection_gap,7,True,98.80469208291558,52,1,8
final_measured_gap_top1_completion,7,True,100.0,53,0,0
strict_measured_top16,8,False,nan,,0,0
unrestricted_top16_projection_gap,8,True,94.49357316738103,49,5,10
current_action_projection_gap,8,True,94.48641031423527,48,4,11
top1_projection_gap,8,True,89.84280395143803,46,6,16
unrestricted_top8_projection_gap,8,True,94.44542160275832,50,5,14
final_measured_gap_top1_completion,8,True,88.0718901279644,45,5,0
strict_measured_top16,9,False,nan,,0,0
unrestricted_top16_projection_gap,9,True,97.87249606950803,49,2,12
current_action_projection_gap,9,True,96.44348143995774,49,2,12
top1_projection_gap,9,True,95.7182522134145,48,2,12
unrestricted_top8_projection_gap,9,True,90.49603078958181,45,6,14
final_measured_gap_top1_completion,9,True,91.25691367239133,47,2,0
strict_measured_top16,10,True,100.0,50,0,0
unrestricted_top16_projection_gap,10,True,100.0,50,0,2
current_action_projection_gap,10,True,100.0,50,0,2
top1_projection_gap,10,True,100.0,50,0,2
unrestricted_top8_projection_gap,10,True,98.77550279614496,48,3,8
final_measured_gap_top1_completion,10,True,100.0,50,0,0
strict_measured_top16,11,False,nan,,0,0
unrestricted_top16_projection_gap,11,True,94.88831260398699,50,2,5
current_action_projection_gap,11,True,94.88831260398699,50,2,5
top1_projection_gap,11,True,94.56355778149205,50,2,5
unrestricted_top8_projection_gap,11,True,94.1300612678648,49,4,10
final_measured_gap_top1_completion,11,True,91.39766548767436,50,2,0
strict_measured_top16,12,True,99.43383607366329,49,0,0
unrestricted_top16_projection_gap,12,True,99.43383607366329,49,0,3
current_action_projection_gap,12,True,99.43383607366329,49,0,3
top1_projection_gap,12,True,99.43383607366329,49,0,3
unrestricted_top8_projection_gap,12,True,97.2918192616584,47,1,7
final_measured_gap_top1_completion,12,True,99.43383607366329,49,0,0
strict_measured_top16,13,True,99.56934033002918,49,0,0
unrestricted_top16_projection_gap,13,True,99.56934033002918,49,0,5
current_action_projection_gap,13,True,99.56934033002918,49,0,5
top1_projection_gap,13,True,99.56934033002918,49,0,5
unrestricted_top8_projection_gap,13,True,97.47422622168025,49,2,9
final_measured_gap_top1_completion,13,True,99.56934033002918,49,0,0
strict_measured_top16,14,False,nan,,0,0
unrestricted_top16_projection_gap,14,True,94.58427672321304,50,3,11
current_action_projection_gap,14,True,94.02802389004852,51,3,11
top1_projection_gap,14,True,93.92134056324824,51,3,11
unrestricted_top8_projection_gap,14,True,94.54648058392813,51,4,11
final_measured_gap_top1_completion,14,True,93.81883016735395,51,3,0
strict_measured_top16,15,False,nan,,0,0
unrestricted_top16_projection_gap,15,True,95.11018537734932,46,3,7
current_action_projection_gap,15,True,95.11018537734932,46,3,7
top1_projection_gap,15,True,93.08056564611964,45,4,8
unrestricted_top8_projection_gap,15,True,95.99088454807834,46,2,7
final_measured_gap_top1_completion,15,True,90.77895172655965,43,4,0
strict_measured_top16,16,False,nan,,0,0
unrestricted_top16_projection_gap,16,True,99.27106058905125,53,2,7
current_action_projection_gap,16,True,99.27106058905125,53,2,7
top1_projection_gap,16,True,99.27106058905125,53,2,7
unrestricted_top8_projection_gap,16,True,96.54175400680042,51,4,12
final_measured_gap_top1_completion,16,True,99.27106058905125,53,2,0
strict_measured_top16,17,False,nan,,0,0
unrestricted_top16_projection_gap,17,True,99.11280800284523,49,1,5
current_action_projection_gap,17,True,98.23568731370653,48,1,5
top1_projection_gap,17,True,96.80094839474971,48,1,5
unrestricted_top8_projection_gap,17,True,99.11280800284523,49,2,7
final_measured_gap_top1_completion,17,True,94.10246824560716,46,1,0
strict_measured_top16,18,True,98.87154469178382,54,0,0
unrestricted_top16_projection_gap,18,True,98.87154469178382,54,0,7
current_action_projection_gap,18,True,98.87154469178382,54,0,7
top1_projection_gap,18,True,98.87154469178382,54,0,7
unrestricted_top8_projection_gap,18,True,98.29034247488957,53,4,9
final_measured_gap_top1_completion,18,True,98.87154469178382,54,0,0
strict_measured_top16,19,False,nan,,0,0
unrestricted_top16_projection_gap,19,True,97.82274139375312,48,1,3
current_action_projection_gap,19,True,96.91188694225636,47,1,3
top1_projection_gap,19,True,96.02722772886602,47,1,3
unrestricted_top8_projection_gap,19,True,96.91188694225636,47,1,4
final_measured_gap_top1_completion,19,True,94.64875205370345,45,1,0
strict_measured_top16,20,False,nan,,0,0
unrestricted_top16_projection_gap,20,True,97.77461123241032,50,1,6
current_action_projection_gap,20,True,97.77461123241032,50,1,6
top1_projection_gap,20,True,97.77461123241032,50,1,6
unrestricted_top8_projection_gap,20,True,95.47139119850561,49,4,11
final_measured_gap_top1_completion,20,True,97.77461123241032,50,1,0
strict_measured_top16,21,False,nan,,0,0
unrestricted_top16_projection_gap,21,True,97.55257494736156,51,1,4
current_action_projection_gap,21,True,97.55257494736156,51,1,4
top1_projection_gap,21,True,96.50760774094289,53,1,4
unrestricted_top8_projection_gap,21,True,97.55257494736156,51,1,6
final_measured_gap_top1_completion,21,True,96.50760774094289,53,1,0
strict_measured_top16,22,True,99.56634918824783,44,0,0
unrestricted_top16_projection_gap,22,True,99.56634918824783,44,0,3
current_action_projection_gap,22,True,99.56634918824783,44,0,3
top1_projection_gap,22,True,99.56634918824783,44,0,3
unrestricted_top8_projection_gap,22,True,96.95386877973569,42,1,5
final_measured_gap_top1_completion,22,True,99.56634918824783,44,0,0
strict_measured_top16,23,True,100.0,45,0,0
unrestricted_top16_projection_gap,23,True,100.0,45,0,3
current_action_projection_gap,23,True,100.0,45,0,3
top1_projection_gap,23,True,100.0,45,0,3
unrestricted_top8_projection_gap,23,True,97.9355159009948,45,3,7
final_measured_gap_top1_completion,23,True,100.0,45,0,0
strict_measured_top16,24,False,nan,,0,0
unrestricted_top16_projection_gap,24,True,96.11879847273869,48,3,8
current_action_projection_gap,24,True,93.74885715503385,46,3,8
top1_projection_gap,24,True,93.15645480243529,46,3,8
unrestricted_top8_projection_gap,24,True,94.45915019458707,47,5,12
final_measured_gap_top1_completion,24,True,93.10201782499776,46,3,0
strict_measured_top16,25,True,99.90946549510639,54,0,0
unrestricted_top16_projection_gap,25,True,99.90946549510639,54,0,3
current_action_projection_gap,25,True,99.90946549510639,54,0,3
top1_projection_gap,25,True,99.90946549510639,54,0,3
unrestricted_top8_projection_gap,25,True,98.12374741786753,53,3,10
final_measured_gap_top1_completion,25,True,99.90946549510639,54,0,0
strict_measured_top16,26,True,100.0,52,0,0
unrestricted_top16_projection_gap,26,True,100.0,52,0,3
current_action_projection_gap,26,True,100.0,52,0,3
top1_projection_gap,26,True,100.0,52,0,3
unrestricted_top8_projection_gap,26,True,97.05557682424143,51,3,8
final_measured_gap_top1_completion,26,True,100.0,52,0,0
strict_measured_top16,27,False,nan,,0,0
unrestricted_top16_projection_gap,27,True,99.37084064207971,47,2,7
current_action_projection_gap,27,True,95.006130054411,45,2,7
top1_projection_gap,27,True,91.87524023378316,43,3,8
unrestricted_top8_projection_gap,27,True,99.25284229863016,48,2,10
final_measured_gap_top1_completion,27,True,86.7389567548966,43,4,0
strict_measured_top16,28,True,99.90794477148276,48,0,0
unrestricted_top16_projection_gap,28,True,99.90794477148276,48,0,3
current_action_projection_gap,28,True,99.90794477148276,48,0,3
top1_projection_gap,28,True,99.90794477148276,48,0,3
unrestricted_top8_projection_gap,28,True,99.90794477148276,48,0,4
final_measured_gap_top1_completion,28,True,99.90794477148276,48,0,0
strict_measured_top16,29,False,nan,,0,0
unrestricted_top16_projection_gap,29,True,98.34683370006674,53,2,5
current_action_projection_gap,29,True,98.23824857671437,53,1,5
top1_projection_gap,29,True,98.23824857671437,53,1,5
unrestricted_top8_projection_gap,29,True,97.01731743387656,52,3,8
final_measured_gap_top1_completion,29,True,98.22090292996667,53,1,0
strict_measured_top16,30,False,nan,,0,0
unrestricted_top16_projection_gap,30,True,98.47246025402455,49,2,6
current_action_projection_gap,30,True,97.70584399412729,50,1,7
top1_projection_gap,30,True,96.13231394604536,48,2,6
unrestricted_top8_projection_gap,30,True,97.32444323087965,49,3,11
final_measured_gap_top1_completion,30,True,95.42095934197984,48,2,0
strict_measured_top16,31,True,99.74866760114215,46,0,0
unrestricted_top16_projection_gap,31,True,99.74866760114215,46,0,3
current_action_projection_gap,31,True,99.74866760114215,46,0,3
top1_projection_gap,31,True,99.74866760114215,46,0,3
unrestricted_top8_projection_gap,31,True,97.33716941511004,45,1,9
final_measured_gap_top1_completion,31,True,99.74866760114215,46,0,0
strict_measured_top16,32,True,100.00000000000001,46,0,0
unrestricted_top16_projection_gap,32,True,100.00000000000001,46,0,1
current_action_projection_gap,32,True,100.00000000000001,46,0,1
top1_projection_gap,32,True,100.00000000000001,46,0,1
unrestricted_top8_projection_gap,32,True,99.00707472827014,46,1,5
final_measured_gap_top1_completion,32,True,100.00000000000001,46,0,0
strict_measured_top16,33,False,nan,,0,0
unrestricted_top16_projection_gap,33,True,98.50773412868818,57,1,8
current_action_projection_gap,33,True,98.50773412868818,57,1,8
top1_projection_gap,33,True,97.6569051111212,57,1,8
unrestricted_top8_projection_gap,33,True,97.9462011026757,58,4,12
final_measured_gap_top1_completion,33,True,97.16215876108257,56,1,0
strict_measured_top16,34,True,99.85858354396119,49,0,0
unrestricted_top16_projection_gap,34,True,99.85858354396119,49,0,3
current_action_projection_gap,34,True,99.85858354396119,49,0,3
top1_projection_gap,34,True,99.85858354396119,49,0,3
unrestricted_top8_projection_gap,34,True,95.91917171166085,47,2,6
final_measured_gap_top1_completion,34,True,99.85858354396119,49,0,0
strict_measured_top16,35,False,nan,,0,0
unrestricted_top16_projection_gap,35,True,98.54945114432898,56,2,9
current_action_projection_gap,35,True,96.12827556444036,54,3,10
top1_projection_gap,35,True,97.76660900650154,55,2,9
unrestricted_top8_projection_gap,35,True,97.45898107936732,55,3,12
final_measured_gap_top1_completion,35,True,94.85427982404643,53,3,0
strict_measured_top16,36,False,nan,,0,0
unrestricted_top16_projection_gap,36,True,98.80275890323698,49,1,6
current_action_projection_gap,36,True,98.80275890323698,49,1,6
top1_projection_gap,36,True,97.1448309973381,49,1,6
unrestricted_top8_projection_gap,36,True,96.69591515423195,51,1,9
final_measured_gap_top1_completion,36,True,96.09067101956614,48,1,0
strict_measured_top16,37,False,nan,,0,0
unrestricted_top16_projection_gap,37,True,96.02020499147024,48,2,7
current_action_projection_gap,37,True,96.02020499147024,48,2,7
top1_projection_gap,37,True,96.02020499147024,48,2,7
unrestricted_top8_projection_gap,37,True,94.79442686317807,48,3,12
final_measured_gap_top1_completion,37,True,89.95713567867979,46,3,0
strict_measured_top16,38,True,99.46859359940517,52,0,0
unrestricted_top16_projection_gap,38,True,99.46859359940517,52,0,4
current_action_projection_gap,38,True,99.46859359940517,52,0,4
top1_projection_gap,38,True,99.46859359940517,52,0,4
unrestricted_top8_projection_gap,38,True,95.22344062253418,49,3,8
final_measured_gap_top1_completion,38,True,99.46859359940517,52,0,0
strict_measured_top16,39,False,nan,,0,0
unrestricted_top16_projection_gap,39,True,97.62238081770096,50,1,5
current_action_projection_gap,39,True,97.62238081770096,50,1,5
top1_projection_gap,39,True,97.62238081770096,50,1,5
unrestricted_top8_projection_gap,39,True,95.94012369868689,51,2,10
final_measured_gap_top1_completion,39,True,97.54968756054326,49,1,0
strict_measured_top16,40,False,nan,,0,0
unrestricted_top16_projection_gap,40,True,98.21411514410332,52,1,5
current_action_projection_gap,40,True,97.77052162774831,52,1,5
top1_projection_gap,40,True,97.70471001080894,52,1,5
unrestricted_top8_projection_gap,40,True,96.99327878040722,51,3,9
final_measured_gap_top1_completion,40,True,96.26067619474854,51,1,0
strict_measured_top16,41,True,99.87407690758003,52,0,0
unrestricted_top16_projection_gap,41,True,99.87407690758003,52,0,8
current_action_projection_gap,41,True,99.87407690758003,52,0,8
top1_projection_gap,41,True,99.87407690758003,52,0,8
unrestricted_top8_projection_gap,41,True,97.03909725054137,50,2,10
final_measured_gap_top1_completion,41,True,99.87407690758003,52,0,0
strict_measured_top16,42,False,nan,,0,0
unrestricted_top16_projection_gap,42,True,97.05259813805216,49,2,8
current_action_projection_gap,42,True,95.90131279175294,49,2,8
top1_projection_gap,42,True,95.49929753806968,48,2,8
unrestricted_top8_projection_gap,42,True,96.20829604158176,48,3,9
final_measured_gap_top1_completion,42,True,95.01329465856566,48,2,0
strict_measured_top16,43,False,nan,,0,0
unrestricted_top16_projection_gap,43,True,97.15189298111835,47,2,8
current_action_projection_gap,43,True,97.15189298111835,47,2,8
top1_projection_gap,43,True,94.44440808263066,46,2,8
unrestricted_top8_projection_gap,43,True,95.12210124449115,46,4,11
final_measured_gap_top1_completion,43,True,94.13928160280416,46,2,0
strict_measured_top16,44,False,nan,,0,0
unrestricted_top16_projection_gap,44,True,94.54706891550829,49,3,11
current_action_projection_gap,44,True,94.37036800339548,49,3,10
top1_projection_gap,44,True,93.22828048897841,48,3,10
unrestricted_top8_projection_gap,44,True,94.3147084652641,49,4,13
final_measured_gap_top1_completion,44,True,91.8712141832694,48,3,0
strict_measured_top16,45,False,nan,,0,0
unrestricted_top16_projection_gap,45,True,96.94262505312302,49,2,5
current_action_projection_gap,45,True,96.94262505312302,49,2,5
top1_projection_gap,45,True,96.94262505312302,49,2,5
unrestricted_top8_projection_gap,45,True,96.94262505312302,49,2,8
final_measured_gap_top1_completion,45,True,96.94262505312302,49,2,0
strict_measured_top16,46,True,98.92536320032835,53,0,0
unrestricted_top16_projection_gap,46,True,98.92536320032835,53,0,7
current_action_projection_gap,46,True,98.92536320032835,53,0,7
top1_projection_gap,46,True,98.92536320032835,53,0,7
unrestricted_top8_projection_gap,46,True,97.54109729276449,52,1,5
final_measured_gap_top1_completion,46,True,98.92536320032835,53,0,0
strict_measured_top16,47,False,nan,,0,0
unrestricted_top16_projection_gap,47,True,99.3547003529848,52,1,7
current_action_projection_gap,47,True,98.30008171298861,51,1,7
top1_projection_gap,47,True,97.73385169205946,51,1,7
unrestricted_top8_projection_gap,47,True,97.6763978074272,52,3,13
final_measured_gap_top1_completion,47,True,97.73385169205946,51,1,0
strict_measured_top16,48,False,nan,,0,0
unrestricted_top16_projection_gap,48,True,98.16353048285545,53,1,8
current_action_projection_gap,48,True,98.16353048285545,53,1,8
top1_projection_gap,48,True,96.87926472614103,52,1,8
unrestricted_top8_projection_gap,48,True,92.82514967075294,49,4,9
final_measured_gap_top1_completion,48,True,96.87926472614103,52,1,0
strict_measured_top16,49,False,nan,,0,0
unrestricted_top16_projection_gap,49,True,99.86606730174093,51,1,5
current_action_projection_gap,49,True,99.86606730174093,51,1,5
top1_projection_gap,49,True,99.45532466309375,51,1,7
unrestricted_top8_projection_gap,49,True,99.09889592953876,51,2,8
final_measured_gap_top1_completion,49,True,99.45532466309375,51,1,0
strict_measured_top16,50,False,nan,,0,0
unrestricted_top16_projection_gap,50,True,94.21434969116933,48,5,10
current_action_projection_gap,50,True,94.37669412736922,48,2,8
top1_projection_gap,50,True,93.19278758086075,48,3,12
unrestricted_top8_projection_gap,50,True,93.51534858005066,46,4,13
final_measured_gap_top1_completion,50,True,89.34874866324716,46,4,0
strict_measured_top16,51,True,100.0,53,0,0
unrestricted_top16_projection_gap,51,True,100.0,53,0,7
current_action_projection_gap,51,True,100.0,53,0,7
top1_projection_gap,51,True,100.0,53,0,7
unrestricted_top8_projection_gap,51,True,97.6552689666083,51,1,11
final_measured_gap_top1_completion,51,True,100.0,53,0,0
strict_measured_top16,52,False,nan,,0,0
unrestricted_top16_projection_gap,52,True,99.05814386327374,50,1,7
current_action_projection_gap,52,True,99.05814386327374,50,1,7
top1_projection_gap,52,True,98.60665089948297,50,1,7
unrestricted_top8_projection_gap,52,True,94.99829025053324,46,3,8
final_measured_gap_top1_completion,52,True,98.60665089948297,50,1,0
strict_measured_top16,53,False,nan,,0,0
unrestricted_top16_projection_gap,53,True,97.48572512393496,48,2,7
current_action_projection_gap,53,True,96.08468169961431,48,2,7
top1_projection_gap,53,True,93.26002492543212,46,3,7
unrestricted_top8_projection_gap,53,True,96.00647062406784,47,3,8
final_measured_gap_top1_completion,53,True,91.52911195146264,45,3,0
strict_measured_top16,54,False,nan,,0,0
unrestricted_top16_projection_gap,54,True,97.07203496754933,50,1,4
current_action_projection_gap,54,True,97.07203496754933,50,1,4
top1_projection_gap,54,True,96.76416629905336,50,1,5
unrestricted_top8_projection_gap,54,True,97.31113594513532,50,1,6
final_measured_gap_top1_completion,54,True,96.76416629905336,50,1,0
strict_measured_top16,55,True,99.32676887799857,51,0,0
unrestricted_top16_projection_gap,55,True,99.32676887799857,51,0,4
current_action_projection_gap,55,True,99.32676887799857,51,0,4
top1_projection_gap,55,True,99.32676887799857,51,0,4
unrestricted_top8_projection_gap,55,True,99.32676887799857,51,0,4
final_measured_gap_top1_completion,55,True,99.32676887799857,51,0,0
strict_measured_top16,56,False,nan,,0,0
unrestricted_top16_projection_gap,56,True,97.08854396053319,48,1,5
current_action_projection_gap,56,True,97.08854396053319,48,1,5
top1_projection_gap,56,True,96.98271624028632,48,1,5
unrestricted_top8_projection_gap,56,True,95.1068377201142,47,3,8
final_measured_gap_top1_completion,56,True,96.98271624028632,48,1,0
strict_measured_top16,57,False,nan,,0,0
unrestricted_top16_projection_gap,57,True,99.44215731329491,54,2,8
current_action_projection_gap,57,True,98.88269802600149,53,1,7
top1_projection_gap,57,True,98.35943507528698,53,1,6
unrestricted_top8_projection_gap,57,True,97.78256611408841,53,2,9
final_measured_gap_top1_completion,57,True,98.35943507528698,53,1,0
strict_measured_top16,58,False,nan,,0,0
unrestricted_top16_projection_gap,58,True,94.00291172821105,46,5,11
current_action_projection_gap,58,True,91.5790065488221,43,3,12
top1_projection_gap,58,True,90.8097929265724,42,3,12
unrestricted_top8_projection_gap,58,True,92.14130830626273,45,6,16
final_measured_gap_top1_completion,58,True,90.58816555650833,42,3,0
strict_measured_top16,59,False,nan,,0,0
unrestricted_top16_projection_gap,59,True,98.41368404678612,51,1,3
current_action_projection_gap,59,True,98.41368404678612,51,1,3
