ordering,seed,normalized_utility,selected_ues,resolved,rounds,switches,measured_switches,completion_switches,completion_domains,cumulative_masked_assignments,gap_decisions,non_yielding_retention_decisions,priority_completion_decisions,repaired_state_priority_decisions,unresolved_conflicts
ascending,0,95.62903445622754,50,True,10,10,7,3,2,5,5,2,3,0,0
descending,0,93.70074641319275,49,True,10,10,8,2,2,4,4,4,2,0,0
random_00,0,96.82400601308339,51,True,10,10,8,2,1,5,5,3,2,0,0
random_01,0,93.70074641319275,49,True,10,10,8,2,2,4,5,3,2,0,0
random_02,0,92.50577485633691,48,True,10,10,7,3,3,5,5,2,3,0,0
random_03,0,95.77129029478921,50,True,10,10,7,3,2,4,4,3,3,0,0
random_04,0,93.70074641319275,49,True,10,10,8,2,2,4,5,3,2,0,0
random_05,0,93.70074641319275,49,True,10,10,8,2,2,4,5,3,2,0,0
random_06,0,93.70074641319275,49,True,10,10,8,2,2,4,4,4,2,0,0
random_07,0,96.82400601308339,51,True,10,10,8,2,1,5,5,3,2,0,0
random_08,0,96.82400601308339,51,True,10,10,8,2,1,5,5,3,2,0,0
random_09,0,96.82400601308339,51,True,10,10,8,2,1,5,5,3,2,0,0
random_10,0,92.50577485633691,48,True,10,10,7,3,3,5,4,3,3,0,0
random_11,0,96.82400601308339,51,True,10,10,8,2,1,5,5,3,2,0,0
random_12,0,95.62903445622754,50,True,10,10,8,2,2,4,5,3,2,0,0
random_13,0,93.70074641319275,49,True,10,10,8,2,2,4,5,3,2,0,0
random_14,0,93.70074641319275,49,True,10,10,8,2,2,4,4,4,2,0,0
random_15,0,95.77129029478921,50,True,10,10,7,3,2,4,4,3,3,0,0
random_16,0,92.50577485633691,48,True,10,10,7,3,3,5,4,3,3,0,0
random_17,0,95.62903445622754,50,True,10,10,7,3,2,5,5,2,3,0,0
random_18,0,95.62903445622754,50,True,10,10,7,3,2,5,5,2,3,0,0
random_19,0,95.62903445622754,50,True,10,10,7,3,2,5,5,2,3,0,0
ascending,1,99.96946518840026,51,True,10,10,10,0,0,0,5,5,0,0,0
descending,1,93.33870131098944,48,True,10,10,9,1,1,3,4,5,1,0,0
random_00,1,100.0,52,True,8,8,8,0,0,0,3,5,0,0,0
random_01,1,97.57620137194291,50,True,10,10,9,1,1,2,5,4,1,0,0
random_02,1,97.57620137194291,50,True,10,10,9,1,1,2,6,3,1,0,0
