ordering,mean_normalized_utility,ci95_lower,ci95_upper,minimum_seed_utility,maximum_seed_utility,mean_selected_ues,seeds_using_feasibility_completion,measured_switches,completion_switches,cumulative_masked_assignments,repaired_state_priority_decisions,first_mean_crossing_stage
ascending,96.36513059862214,95.71536635860825,97.01489483863604,86.7389567548966,100.00000000000001,49.48,70,844,130,203,0,8
descending,96.19197812516867,95.52255802122603,96.86139822911132,83.50227202481629,100.00000000000001,49.49,70,855,123,222,0,8
random_00,96.35172661354049,95.69190984995393,97.01154337712705,86.15850526647273,100.00000000000001,49.54,71,863,115,200,0,8
random_01,96.38972375263728,95.71385537568699,97.06559212958757,83.70241865445324,100.00000000000001,49.53,72,860,123,213,0,8
random_02,96.34694016597223,95.71150064433824,96.98237968760621,88.59135270541063,100.00000000000001,49.45,70,857,120,210,0,8
random_03,96.33341993734834,95.66894342403552,96.99789645066116,85.67166967958781,100.00000000000001,49.43,70,850,124,213,0,8
random_04,96.5113073311317,95.87750071543883,97.14511394682458,88.11678977434558,100.00000000000001,49.59,68,864,118,200,0,8
random_05,96.48884167675403,95.86057451320275,97.11710884030532,88.0488883819345,100.00000000000001,49.61,68,872,116,196,0,8
random_06,96.66838356237857,96.09971417938213,97.237052945375,88.01019209874217,100.00000000000001,49.73,72,859,121,198,0,9
random_07,96.21788916997374,95.57830732413845,96.85747101580904,88.21978621915929,100.00000000000001,49.37,73,854,130,225,0,8
random_08,96.30883293352412,95.63014299697282,96.98752287007541,85.67166967958781,100.00000000000001,49.57,68,858,124,220,0,8
random_09,96.33810967100992,95.63684523000188,97.03937411201795,85.41624635751911,100.00000000000001,49.46,69,876,119,214,0,8
random_10,96.29777653428486,95.64546979164562,96.9500832769241,88.24852405879058,100.00000000000001,49.43,69,857,122,204,0,8
random_11,96.53621737815672,95.89861100707613,97.17382374923731,85.69188362560244,100.00000000000001,49.62,69,866,119,205,0,8
random_12,96.40810165760017,95.73644417987788,97.07975913532246,80.25944830980488,100.00000000000001,49.46,70,861,122,205,0,8
random_13,96.40105290912477,95.76594781246632,97.03615800578322,88.24852405879058,100.00000000000001,49.51,72,849,122,203,0,8
random_14,96.24888040416293,95.59288983377374,96.90487097455213,86.46360481456745,100.00000000000001,49.4,70,854,121,208,0,8
random_15,96.28199688230129,95.6533553652313,96.91063839937127,87.33085258982511,100.00000000000001,49.44,71,853,124,212,0,8
random_16,96.23579514032514,95.56009140510923,96.91149887554104,85.67166967958781,100.00000000000001,49.43,72,849,126,218,0,8
random_17,96.35067996658134,95.69341188213988,97.0079480510228,86.68579194480544,100.00000000000001,49.49,74,849,127,213,0,8
random_18,96.23875859178784,95.55333860224717,96.92417858132852,86.81786088048392,100.00000000000001,49.48,72,848,130,223,0,8
random_19,96.69415206869984,96.13456148555541,97.25374265184426,89.49130178075887,100.00000000000001,49.68,70,862,115,193,0,9
