seed,strict_resolved,strict_rounds,strict_unresolved_conflicts,projection_resolved,projection_rounds,projection_events,projection_switches,projection_domains
0,False,5,5,True,10,8,3,5
1,True,10,0,True,10,5,0,3
2,True,5,0,True,5,1,0,1
3,False,8,1,True,9,4,1,2
4,True,7,0,True,7,3,0,2
5,False,6,3,True,9,6,1,6
6,True,4,0,True,4,0,0,0
7,True,9,0,True,9,5,0,4
8,False,0,10,True,11,10,5,6
9,False,6,5,True,13,12,2,8
10,True,10,0,True,10,2,0,2
11,False,2,7,True,10,5,2,4
12,True,8,0,True,8,3,0,2
13,True,10,0,True,10,5,0,4
14,False,4,7,True,11,11,3,7
15,False,0,6,True,7,7,3,5
16,False,3,4,True,8,7,2,5
17,False,7,2,True,9,5,1,4
18,True,12,0,True,12,7,0,4
19,False,2,3,True,5,3,1,3
20,False,7,3,True,9,6,1,5
21,False,7,2,True,9,4,1,3
22,True,8,0,True,8,3,0,3
23,True,7,0,True,7,3,0,3
24,False,0,6,True,7,8,3,5
25,True,10,0,True,10,3,0,3
26,True,11,0,True,11,3,0,2
27,False,2,10,True,10,7,2,6
28,True,11,0,True,11,3,0,3
29,False,3,4,True,7,5,2,4
30,False,2,7,True,10,6,2,5
31,True,11,0,True,11,3,0,3
32,True,6,0,True,6,1,0,1
33,False,11,1,True,12,8,1,6
34,True,9,0,True,9,3,0,2
35,False,2,7,True,11,9,2,5
36,False,8,1,True,9,6,1,6
37,False,7,3,True,10,7,2,6
38,True,12,0,True,12,4,0,4
39,False,6,2,True,8,5,1,4
40,False,2,5,True,8,5,1,4
41,True,12,0,True,12,8,0,7
42,False,4,3,True,7,8,2,6
43,False,5,5,True,10,8,2,6
44,False,0,7,True,10,11,3,5
45,False,1,6,True,7,5,2,5
46,True,10,0,True,10,7,0,6
47,False,11,2,True,13,7,1,5
48,False,8,1,True,9,8,1,7
49,False,11,1,True,11,5,1,5
50,False,6,7,True,15,10,5,6
51,True,12,0,True,12,7,0,7
52,False,2,8,True,10,7,1,5
53,False,2,7,True,9,7,2,6
54,False,8,2,True,10,4,1,4
55,True,6,0,True,6,4,0,4
56,False,10,1,True,11,5,1,4
57,False,3,7,True,11,8,2,5
58,False,4,9,True,12,11,5,8
59,False,5,3,True,8,3,1,3
60,True,7,0,True,7,5,0,5
61,False,8,2,True,10,7,2,6
62,True,11,0,True,11,6,0,5
63,False,4,1,True,5,3,1,2
64,True,8,0,True,8,2,0,2
65,False,0,5,True,12,8,2,5
66,True,13,0,True,13,4,0,3
67,False,6,1,True,7,4,1,3
68,False,7,3,True,10,8,2,6
69,False,8,3,True,12,6,1,5
70,False,6,3,True,10,6,3,4
71,False,3,6,True,9,7,3,5
72,False,2,9,True,16,16,4,9
73,False,5,4,True,10,8,2,5
74,False,8,2,True,11,10,1,8
75,True,13,0,True,13,7,0,6
76,False,11,3,True,14,9,3,6
77,True,9,0,True,9,5,0,4
78,False,9,2,True,11,10,2,6
79,False,9,1,True,10,7,1,6
80,False,2,4,True,7,7,3,5
81,True,10,0,True,10,5,1,5
82,False,7,3,True,10,8,3,6
83,False,7,2,True,9,6,1,5
84,False,4,5,True,9,8,2,7
85,False,12,2,True,14,10,2,7
86,False,3,7,True,13,10,2,6
87,False,1,9,True,11,13,3,9
88,False,8,3,True,10,7,1,6
89,False,9,2,True,11,7,2,5
90,False,10,1,True,12,7,1,5
91,False,7,3,True,13,6,1,4
92,False,2,7,True,9,7,2,5
93,True,5,0,True,5,3,0,3
94,False,4,5,True,9,6,2,5
95,False,4,6,True,11,8,3,6
96,False,8,1,True,9,4,1,3
97,False,3,7,True,14,7,3,5
98,False,10,2,True,13,6,1,4
99,False,7,2,True,9,6,1,5
