mode,lambda,k_or_rstar_median,r_star_max,n_over_budget,a_mean,p_g_mean,p_opt_given_good_mean
weighted-aa,0.5,1.0,1,0,0.407719,0.788059,0.053785
weighted-aa,1.0,1.0,3,0,0.287093,0.911333,0.071974
weighted-aa,2.0,2.0,8,0,0.189596,0.927789,0.122502
weighted-aa,3.0,2.0,23,10,0.155003,0.938775,0.180632
weighted-aa,4.0,3.0,60,10,0.13962,0.942920,0.234339
gated-heuristic,2.0,1,,,,0.216882,
gated-heuristic,2.0,2,,,,0.222950,
gated-heuristic,2.0,3,,,,0.226035,
gated-heuristic,2.0,4,,,,0.227318,
gated-heuristic,3.0,1,,,,0.211724,
gated-heuristic,3.0,2,,,,0.212758,
gated-heuristic,3.0,3,,,,0.213604,
gated-heuristic,3.0,4,,,,0.214206,
gated-heuristic,4.0,1,,,,0.211060,
gated-heuristic,4.0,2,,,,0.211241,
gated-heuristic,4.0,3,,,,0.211419,
gated-heuristic,4.0,4,,,,0.211577,
