round,UE1_d1,UE1_d2,UE1_d3,UE1_r1,UE1_r2,UE1_r3,UE1_s1,UE1_s2,UE1_s3,UE1_asgn,UE1_near,UE1_ok,UE2_d1,UE2_d2,UE2_d3,UE2_r1,UE2_r2,UE2_r3,UE2_s1,UE2_s2,UE2_s3,UE2_asgn,UE2_near,UE2_ok,UE3_d1,UE3_d2,UE3_d3,UE3_r1,UE3_r2,UE3_r3,UE3_s1,UE3_s2,UE3_s3,UE3_asgn,UE3_near,UE3_ok,UE4_d1,UE4_d2,UE4_d3,UE4_r1,UE4_r2,UE4_r3,UE4_s1,UE4_s2,UE4_s3,UE4_asgn,UE4_near,UE4_ok
1,202.3,130.7,133.3,2.88,5.5,5.78,8.0,16.5,17.3,O-RU3,O-RU2,MISS,162.9,125.8,164.2,4.16,13.28,0.0,12.3,40.0,0.0,O-RU2,O-RU2,OK,184.6,219.0,76.8,10.66,2.88,6.88,32.1,8.1,20.7,O-RU1,O-RU3,MISS,188.4,144.8,125.5,0.0,4.7,12.99,0.0,14.0,39.1,O-RU3,O-RU3,OK
2,231.5,133.8,126.5,2.67,5.39,12.01,7.3,16.1,36.1,O-RU3,O-RU3,OK,175.7,100.7,184.5,4.0,7.45,0.0,11.8,22.4,0.0,O-RU2,O-RU2,OK,158.5,231.5,101.5,4.98,2.77,6.38,14.8,7.7,19.1,O-RU1,O-RU3,MISS,206.9,157.2,105.9,0.0,4.53,7.04,0.0,13.5,21.1,O-RU3,O-RU3,OK
3,231.5,133.8,126.5,2.6,5.34,5.81,7.0,16.0,17.4,O-RU2,O-RU3,MISS,175.7,100.7,184.5,3.88,7.88,0.0,11.4,23.7,0.0,O-RU2,O-RU2,OK,158.5,231.5,101.5,4.98,2.77,6.36,14.9,7.6,19.1,O-RU3,O-RU3,OK,206.9,157.2,105.9,0.0,4.4,13.73,0.0,13.0,41.3,O-RU3,O-RU3,OK
4,231.5,133.8,126.5,2.59,5.44,5.7,7.0,16.3,17.1,O-RU2,O-RU3,MISS,191.1,76.1,206.0,3.76,8.34,0.0,11.0,25.1,0.0,O-RU2,O-RU2,OK,143.2,233.0,117.1,5.16,2.86,6.17,15.4,8.0,18.5,O-RU3,O-RU3,OK,226.3,171.9,88.2,0.0,4.27,7.6,0.0,12.6,22.8,O-RU3,O-RU3,OK
5,248.0,135.4,128.6,2.55,5.79,5.32,6.8,17.4,15.9,O-RU3,O-RU3,OK,191.1,76.1,206.0,3.56,15.88,0.0,10.3,47.8,0.0,O-RU2,O-RU2,OK,143.2,233.0,117.1,5.47,3.01,5.82,16.4,8.5,17.4,O-RU3,O-RU3,OK,226.3,171.9,88.2,0.0,9.94,8.06,0.0,29.9,24.3,O-RU2,O-RU3,MISS
6,248.0,135.4,128.6,2.52,6.01,5.11,6.8,18.0,15.3,O-RU2,O-RU3,MISS,191.1,76.1,206.0,3.44,9.79,0.0,9.9,29.5,0.0,O-RU2,O-RU2,OK,143.2,233.0,117.1,5.66,3.1,5.62,17.0,8.8,16.8,O-RU1,O-RU3,MISS,226.3,171.9,88.2,0.0,3.92,8.33,0.0,11.5,25.1,O-RU3,O-RU3,OK
7,253.1,117.1,148.7,2.49,6.24,4.91,6.6,18.7,14.6,O-RU2,O-RU2,OK,208.5,52.7,228.5,3.31,10.42,0.0,9.5,31.4,0.0,O-RU2,O-RU2,OK,126.1,217.3,134.3,12.06,3.2,5.42,36.3,9.1,16.2,O-RU1,O-RU1,OK,246.4,188.3,73.7,0.0,3.79,8.59,0.0,11.1,25.8,O-RU3,O-RU3,OK
8,253.1,117.1,148.7,2.46,6.48,4.72,6.5,19.5,14.0,O-RU2,O-RU2,OK,208.5,52.7,228.5,3.19,11.11,0.0,9.1,33.5,0.0,O-RU2,O-RU2,OK,126.1,217.3,134.3,0.0,0.0,0.0,0.0,0.0,0.0,O-RU1,O-RU1,OK,246.4,188.3,73.7,0.0,0.0,0.0,0.0,0.0,0.0,O-RU1,O-RU3,MISS
9,253.1,117.1,148.7,2.43,6.73,4.53,6.4,20.2,13.5,O-RU2,O-RU2,OK,208.5,52.7,228.5,3.08,11.84,0.0,8.7,35.6,0.0,O-RU2,O-RU2,OK,126.1,217.3,134.3,6.24,3.39,11.1,18.7,9.8,33.4,O-RU3,O-RU1,MISS,246.4,188.3,73.7,0.0,3.54,9.02,0.0,10.3,27.1,O-RU3,O-RU3,OK
10,253.1,117.1,148.7,2.39,13.35,4.36,6.3,40.2,12.9,O-RU2,O-RU2,OK,208.5,52.7,228.5,2.96,19.69,0.0,8.3,59.3,0.0,O-RU2,O-RU2,OK,126.1,217.3,134.3,6.43,3.48,4.84,19.3,10.1,14.4,O-RU1,O-RU1,OK,246.4,188.3,73.7,7.74,0.0,9.09,23.3,0.0,27.4,O-RU3,O-RU3,OK
